Gene,Spearman_Correlation
Cntnap5c,0.35540642643490794
Rab3c,0.3530345559095597
Robo1,0.35114078393788223
Grip1,0.3449461128114014
Epha6,0.3352206087849158
Kif26b,0.3256144932080765
Fstl5,0.32404210718843485
Usp29,0.31686997259049926
Ankrd55,0.31681166881077444
Dgkg,0.31302306639440797
Gad2,0.3127882759714415
Gm1604a,0.3121163222578986
Cntnap5a,0.30863282315817925
Dlx6os1,0.30798253364065853
Bcl11b,0.30693589321843917
Galntl6,0.300894655755579
Nkain3,0.29811034216232785
Nhs,0.29744125355036793
Grm1,0.29692564053095977
Zfp804a,0.2932774405485015
Kcnmb2,0.2922371722870617
A830018L16Rik,0.28938094340552023
Vwc2,0.28680368801805384
Tenm1,0.2854715703333957
Arhgap18,0.28436422216734614
Cdh9,0.28257964785023015
Cdh13,0.2819142024582084
Epha3,0.28149648563838187
Slc44a5,0.28009420908819976
Tox3,0.27838086533494016
Arhgap6,0.27811806113746534
Cntn5,0.27667666991661505
Rab27b,0.2762085963741895
Tmem117,0.27583355434741963
Elavl2,0.2755340018038189
Kcnip1,0.27455797991569514
Rbms3,0.27429875063119274
Cpne7,0.2735595108936591
Btbd11,0.2735549885130063
Fndc1,0.27051962780618594
Ryr3,0.2697834334937626
Gad1,0.2675682924707806
Dchs2,0.2659507309225708
Gpr176,0.2652857834313935
Dner,0.26191700458468337
Cdh7,0.26181883599207556
B130024G19Rik,0.2614659000612443
Filip1,0.2591520767647582
Reln,0.25851103330053504
Ptpro,0.2579258873148495
C130073E24Rik,0.2565853711073292
Kcnc1,0.2548640463114669
Caln1,0.2546034277126842
Glra2,0.25378224867173216
Cdh4,0.2530715811915155
Vat1l,0.2505966048540898
Alk,0.25035176821715416
Htr2c,0.24978930494010704
Pdzrn4,0.24927679567968875
6530403H02Rik,0.248561107875174
Pcdh19,0.24713928883626773
Chl1,0.24616679862512172
Dlx1as,0.244612454751348
Cacna2d2,0.24233589272710757
Trpc4,0.24164839671965385
Esrrg,0.24138544928113678
Htr4,0.2412183449027276
Gabrg3,0.23961409988699048
Cntn6,0.23955902749672714
Hs6st2,0.2383799437982779
Tox2,0.23810491225946562
Aff2,0.2380408354202134
Rerg,0.23605271428129324
Trpc7,0.23580110625486939
Iqgap2,0.23558409830429067
Serpini1,0.23537991775159603
Cntnap4,0.23286710215366907
Ndst3,0.2319730470009015
Mgat4c,0.23194170203235426
Tcerg1l,0.23100903422176522
Rhbdl3,0.23049150841836105
Cntnap3,0.22954239661541478
Cnr1,0.22934889849695672
Plppr1,0.22837785404542774
Ndst4,0.22713949304498884
Neto1,0.22679704560979966
Rnf128,0.22612511555772946
Glra3,0.22550743982737775
Scml4,0.225127646376607
Zbbx,0.22497031963376019
Myo5b,0.2242113043668572
Rab27a,0.2240291730981687
Nr2f2,0.2237031320313135
Cacnb2,0.22349567071573578
Kcnab1,0.22335938780212572
Rab3b,0.2226969650908371
Dnah9,0.22167142247689425
Grin3a,0.22115460825362102
Gm45323,0.21979253014344735
Kcnc2,0.21931148321992622
Galnt14,0.21907608695189118
Chrna7,0.21544807199586263
St8sia4,0.21509558215968647
Igf1,0.21473228424392798
Gm13052,0.21448240025780899
Lmo3,0.21397596988035755
Pola1,0.2135062334297817
Elfn1,0.2134134283945481
Rasgrf2,0.21317505488991365
Trpc5,0.21288329212198226
Nos1,0.20898962789589853
Cep112,0.20655030221947884
Nek10,0.20603301815021738
Plcxd3,0.2044990327304717
Afap1,0.20437301024246737
Adamts18,0.20382722051952679
Adamts17,0.2033460233623058
Abat,0.2032330213721964
Pip5k1b,0.20221430453883643
Gng7,0.20209318724905476
Tmem132c,0.2010077644613098
Spock3,0.2009679481179094
Gm10754,0.200522237089222
Scn5a,0.19941143138040693
Sv2c,0.19933391904245557
Nrp2,0.1987127363946956
Kctd8,0.19868729877090754
Tgfbr3,0.19850481163051722
Neto2,0.1981950484095964
Cntnap5b,0.19794378267139429
Cpne4,0.19787512779578761
Cfap44,0.19740070845002966
Gm45341,0.19737153919233005
Mei4,0.19698413271000548
Dlx1,0.19645349095049117
Sfmbt2,0.19628983502366057
Grik1,0.1961770134213629
Synpr,0.19557193917231339
9530059O14Rik,0.19553505738438112
Zfp804b,0.19548378811741499
Gm20754,0.1953944916989948
Crb1,0.194894610643127
Gm28756,0.1946715059745543
Gm33228,0.19278793808851852
Greb1l,0.1923233740820233
Egfem1,0.19149194152049517
Gm26691,0.19102624643018906
Tmtc4,0.19026287330957223
Shisa6,0.1886463496922678
Kcns3,0.18808046862039357
Parm1,0.1871159708361412
Pvt1,0.18680159802649254
Nxph1,0.18663261706377923
Slit2,0.18645214779059302
Myo16,0.18592507990613685
Dpyd,0.1858600108955695
Vwc2l,0.1857135133052921
Mtss1,0.18430220336078307
Pcsk5,0.18355607962384388
Stac,0.18352805806251962
Trhr,0.183283425026413
Sgcd,0.1832264483900858
March3,0.1824617838366426
Pde11a,0.1818355812059971
Col23a1,0.18159168185247293
Gm32647,0.18142047594473618
Ptpre,0.18097143851278671
Rarb,0.18068440949814987
Cdh18,0.18026141969579815
Epha7,0.17966223835134548
Eda,0.1793838255231645
Bcat1,0.17894954817123557
Gm29683,0.17872912553021164
Pde1a,0.17860987516945193
Col25a1,0.1785772701232141
Slit3,0.17785051817768233
Kcnn3,0.1777069044885247
Ap1s2,0.1772850026533513
Sox11,0.17715483763211756
Vegfc,0.1771351374431351
Adarb2,0.17648993813460134
Klhl1,0.1759584438886263
Lhfpl3,0.17567580751973025
Samd5,0.17545266181477762
Gm45847,0.17465022302338207
Kirrel3,0.17393394022924344
Inpp4b,0.17358926662261476
Gprin3,0.17349804180181091
N4bp2,0.1731183355295592
Rcan3,0.1730406113825797
Sox1ot,0.17274787802356648
Adcy5,0.17265133804689484
Gm41414,0.17249203494591334
Lypd1,0.17237081053396108
Sec24d,0.17181055436829343
St3gal1,0.17156487060114328
Hcrtr2,0.17152114208153812
Slc35f1,0.17118958708463583
Lancl3,0.1709161065055389
Cemip,0.17086224173033426
Klhl13,0.17085451855193212
Cfap54,0.17072024587992363
Thsd7a,0.1705072688805935
Ntng1,0.17046393052811165
Arx,0.17045452140030934
Pde5a,0.17011088823503426
Airn,0.17007305430003616
Tmem255a,0.17004859208564677
Moxd1,0.1699260006875074
Tbc1d9,0.16959434129797066
Frmd4a,0.1692529730395741
Col19a1,0.1691530096772776
Thsd4,0.1691250038925549
Tbc1d4,0.1688189167686485
Esr1,0.16843741853095115
Otof,0.16800866342813692
Tll1,0.16794203122515328
Arl4c,0.16783685155881897
Dpysl3,0.16755296858034244
Gm49678,0.16742221798065562
Rgs9,0.1670758805710211
Syt9,0.16688788053788733
Camk2d,0.16652818558261875
Myo3b,0.1663688615394865
Ano2,0.16601856312330993
Lypd6b,0.16594011764570252
Ccnd2,0.1659004295508225
Hpcal1,0.16587602438225593
Adra1a,0.1656923853600189
Frmpd4,0.1655680899741272
Gpc4,0.16542163716695618
Dscaml1,0.16505220670238988
Pakap,0.16462685805332275
Crispld1,0.16417900924779708
Shisa9,0.16385019404989584
Fras1,0.16380898994136306
Nr3c2,0.16311136208638163
Mme,0.1629300101377511
Ankrd13a,0.16187639679989163
Syt10,0.1617529926026513
Gm16070,0.1613301617486944
Npr3,0.16111383232017187
Trpc6,0.16048908510787793
Ankfn1,0.15954338298348064
6330411D24Rik,0.15931890726888953
Smc2,0.15889116860374558
Grik3,0.15859850225377975
Ptpn14,0.15849563466047487
Calb1,0.15835001300798332
Shtn1,0.15832683263657063
Dock11,0.15810063006301248
St6galnac5,0.1579248465539894
Maf,0.15760382719009441
Ppargc1a,0.15747176789354794
9630002D21Rik,0.1573363567056848
Hs3st5,0.15727280953159245
Npy,0.15711611082192023
Gm13986,0.15655103061674375
Zim1,0.1565186852557988
Amz1,0.15609580835886094
Penk,0.15570660829503455
Fxyd6,0.1553569930621247
Slc26a4,0.1551659345405835
Crhbp,0.1551641360114439
Grm8,0.15513460514203267
Tafa2,0.15502303329577968
Syt2,0.15471164667152063
Lrriq1,0.1543694777626875
Nhsl2,0.15434462126526832
Tacr1,0.15428286270798977
Pbx3,0.1539393049240642
L3mbtl4,0.1537999806261837
Matn2,0.15304249082120572
Adamts3,0.15232399544624942
Dguok,0.15126650210481574
Tbc1d31,0.15118885032481172
Gm12743,0.15116389319530565
Aldh1l2,0.15080454917575375
Abcb10,0.15073787187841475
Gm32442,0.15068545597963134
Slc1a4,0.15048454607688372
Olfm3,0.15022099497822397
Slc2a13,0.15005782576930965
Gm39185,0.14987934176771942
Chst9,0.1496640856202925
Abcb4,0.1491010018253182
9530026P05Rik,0.1490583720032591
Ngf,0.148967384586564
Npy2r,0.1487725018083573
Fam126a,0.14864931604490922
Gm30382,0.14856269782899356
Npas1,0.1478984690835381
