Gene,Spearman_Correlation
Ryr3,0.23383322224862424
Cdh4,0.23020194669393274
B130024G19Rik,0.21031444995790471
Nrp2,0.20577341021858606
Ndst4,0.19727659899868133
Brinp3,0.19444577009520023
Bmper,0.1925940902785329
Cep112,0.19158892637598127
Pdzrn4,0.18752864941853956
Nr2f2,0.18645443815635596
Epha6,0.18278166997687115
Arhgap24,0.1769877799636756
Gpc3,0.17585859386408062
Gpc6,0.1739629189702505
Pde3a,0.17195719764817924
C130073E24Rik,0.16839259019092645
Vat1l,0.16359093824587662
Col25a1,0.1614847618854199
Gen1,0.1606844999069943
Thsd7b,0.15738871285723996
Dgkb,0.15678491717457366
Rida,0.15651914999737745
Scn5a,0.15578190094792913
Nell1,0.15523859877546345
Frmd4a,0.1551153308021741
Grm8,0.15425873061536433
Prr5,0.1523964037321614
Gprin3,0.1507938708434707
Htr2c,0.14986462249759339
Nfatc2,0.14971592806912845
Amer2,0.14953316498714117
Npy2r,0.14946463573594257
Eva1c,0.14933967484094923
T2,0.14890645168069677
Commd9,0.14870943734539024
Grik4,0.1480153812124667
Wwtr1,0.14782624513533857
Egfem1,0.1477892042942317
Magi3,0.14660764667620266
Sh3bgrl,0.1459983359994538
N4bp2,0.14573235032267828
Fgfr1,0.14513255865521796
Cotl1,0.14408801135856192
Gm20754,0.14380373922370865
Gpc5,0.14240837040535512
Sema3a,0.1422572965546218
Dach2,0.14207235440006855
Man1a,0.14194248162658823
Gm39185,0.14040819844112584
Dock10,0.14028772350036833
Gm45323,0.13994325859673443
Bcar3,0.13960441941845247
Lysmd4,0.1394001689391581
Sorcs3,0.1377842326733737
Nkain3,0.13705153124938632
Penk,0.13688613434039087
Cadps2,0.13652885611985224
Trpc6,0.13458642503542081
Syt9,0.13365729945912735
Phactr2,0.13319435516595068
Wnt7a,0.13317996614349192
Schip1,0.1327273698750911
Htr7,0.13230957283435518
Stxbp6,0.13221669941180345
Arid3a,0.1311487265302105
Tnfrsf11a,0.1309637988876042
Ccbe1,0.13024922016475216
Rnf17,0.1301090442207124
Naaa,0.12995695057802625
Gm26760,0.12945789477424002
Pcdh11x,0.1294252385381006
Acsbg1,0.12933051967810286
Cfap299,0.12894956172595115
Gm29683,0.1281816094338402
Sh3gl3,0.12640992985811303
Ptprt,0.1262658031391786
Sorcs1,0.12542196187095478
Col22a1,0.12508852341897267
Gabrg1,0.12502265047291436
Mtss1,0.12495343930618158
Frmpd4,0.12489306342250829
Moxd1,0.12478694878812698
A830019P07Rik,0.12419113118196118
Tep1,0.12413114449344571
Spata13,0.12392038647762657
Gm44593,0.12375739434195271
Asic4,0.12364632530271825
Kif26b,0.12323569686484226
Elmo1,0.12312843746896737
Thsd7a,0.122597602291948
Prrg1,0.12254483523903477
Zeb1,0.12217270765102245
Stac,0.12132981186426207
Gm41414,0.11999898771730876
Ddah1,0.11920167182783863
Cd63,0.11858396374784637
St8sia6,0.11820961678338128
Limd1,0.11789355483653165
Amotl2,0.11726672459919989
Ptprz1,0.11723024430658426
A930005H10Rik,0.11644394005162445
Sdc2,0.1163064179964155
Gm45341,0.11615705434407393
Shisa6,0.11613156646743258
Pcbd2,0.11599575926159111
Zfp229,0.11579426915926543
Adgrv1,0.11574375541789896
Sema5b,0.1154419598436912
Ick,0.11540554264096173
Mt2,0.11512179871391079
Tppp,0.11511611654306945
Sema6d,0.11484886706789015
Zim1,0.11460880891707526
Zfpm2,0.11437822015780588
Gm29266,0.11413704743213048
Mir99ahg,0.11354854940592138
Thsd1,0.11343463643194891
2900079G21Rik,0.11300002561264877
Gm30382,0.11288797483688105
Ntng1,0.11281372266187754
Synpr,0.11241290730924144
Usp29,0.11224762207790571
Ldb2,0.1119934157184066
Pou6f2,0.11144507207832875
Insig1,0.11132697717105033
Tspan15,0.11104297948080426
Adamts5,0.11063851647074235
Erlin2,0.11051852630970731
Dnm3,0.11043490421109071
Hs3st2,0.11038927362856871
Nhs,0.11000454761406683
Nphp3,0.10985530964489354
Hps3,0.10980243655591745
Whrn,0.10951337132774722
Snx20,0.1094478851010271
Fbn2,0.10936911423142831
Necab1,0.1090156959260502
Sema4d,0.10842840207929871
Igfbp5,0.10839471732877314
B230206L02Rik,0.10825786718964704
Cnn3,0.10807520171582885
Trpc7,0.10805531307683917
Ankrd6,0.10793626876290129
Qrfpr,0.10754780804692181
Btg1,0.10751531450220339
Sphk2,0.1074443085645946
Tnfaip8,0.10678096809745384
Cp,0.1067573161529591
Psme2,0.10647884142126757
Heatr5a,0.10639887405239656
Cmbl,0.10635641485955465
Calb1,0.10623689720941208
Usp24,0.10618318827526209
Gm33037,0.10598256414362489
Elfn1,0.10594239021967364
Wdr81,0.10573536378973343
Rin2,0.10570956661490949
mt-Atp8,0.1053419530907745
E130308A19Rik,0.10518385383616356
2810002D19Rik,0.10503532749873724
Rhbdf1,0.1049938221921503
Gm12371,0.1045990615705343
Mmp15,0.10459566862971417
Kirrel3,0.10398702103742127
1700023F02Rik,0.10397005188544522
Dchs1,0.10393441462526228
Dnah14,0.10379503512199294
S100b,0.10377760814161618
Vegfc,0.10347581131515968
Pnpla2,0.1034198846304984
Scn7a,0.10339689537837478
Nxn,0.10271584410663642
Sall2,0.10270337051153593
Tfap2d,0.10269301415359236
Gm9925,0.10269051647516876
March3,0.10254545983365745
Col23a1,0.10182840274324474
Sox1ot,0.10170580292908232
Snx30,0.10142314883725383
Ncam2,0.10123318205474346
Lypd1,0.10116797570402519
Tulp4,0.10107213193151524
Htr4,0.10050345229687939
Cpne4,0.10047379072409539
Lgals8,0.10045745662229541
Prox1os,0.10012512438878153
Fstl5,0.09989034196143293
Grm1,0.0998307800189392
Adarb2,0.09982687038355925
Tbc1d31,0.09957106733503843
Ppp1r21,0.09946809329629414
Spsb4,0.09938082365666864
Zfp558,0.09912713615744081
AC163347.1,0.0990971809731652
Tmem196,0.09889232240445535
Pde1a,0.09867568836099179
Gm3739,0.09726339628902111
Rmst,0.09720458882386344
Lat2,0.09706326560913857
Ofd1,0.09701879540773395
Pde3b,0.09692134924516907
Hip1,0.09686800369008845
Col9a3,0.09683024083752818
Col4a6,0.09649668166278626
Ghr,0.0963237171598661
Fxyd6,0.09628477107366208
Gm13187,0.09606657553616868
Fez2,0.09586983910685179
Crb1,0.09585113258228914
Cpeb2,0.09580717976327123
Dnah9,0.09577923332377906
Kif26a,0.09532899090504132
Gm4876,0.09471359647221918
Gm20515,0.09470034859769995
Lef1,0.09459342921982077
Chl1,0.09418952781218652
Glra3,0.09409451965605953
Sox8,0.0938545968482863
Lrp10,0.09377784223091949
Ezh1,0.09355141192280453
Osbpl7,0.09322824268925083
Gm3667,0.09313605085629517
Abcg2,0.09313350595703965
Gm4890,0.09301927912359831
Cenpx,0.09282618999120212
Clu,0.09224087099764759
Ust,0.09216288340764826
2610203C22Rik,0.09200881683978224
Aamdc,0.09164998311335558
Gm3468,0.09163744910681396
Maml2,0.09128224359439457
Dnmt3b,0.09126168745021548
Cyp4f17,0.09117174098643599
Gm15283,0.09084678609577437
