Gene,Spearman_Correlation
Fzd9,0.2701538334560161
Srpk3,0.2680933470824312
Abcg2,0.26590093859665737
Lama4,0.26433131909472923
Ss18,0.26030308860744095
Rab27b,0.2596918092241856
1110015O18Rik,0.25908198251075804
Mgat4a,0.25806107886741914
Zfp976,0.25662620671775815
Commd1,0.2536055964725192
Ilk,0.24521630899139843
Capn5,0.24327209618111292
Rasgrf2,0.2432326923056068
Slc25a13,0.24292933487629376
mt-Cytb,0.2399913816019094
Kcnh8,0.23952723566974848
Thsd7b,0.23932733406238219
Tpst2,0.23877699704191915
Megf10,0.23301335551060015
Acads,0.23220605968136712
Vat1l,0.2317568937046769
2810468N07Rik,0.22700766562559963
Myrf,0.22506438397465486
Homer3,0.2248761260892542
Vrk2,0.22374795587432036
Col15a1,0.2230843082412913
Ccdc190,0.22232922832609753
Rtn4,0.22149721922266108
March3,0.22059468322354278
Apobec1,0.21842081733136562
Slc38a2,0.21626264778252413
Piezo2,0.21573386096935637
Plpp4,0.21415406937849288
2210016F16Rik,0.21271508715134368
Serinc5,0.21140530232243995
Rpl37,0.21087367806640633
Kcna1,0.21073018071425734
D5Ertd615e,0.20999123212250811
Plppr1,0.20855346865174465
Myo1b,0.20731676807449778
Lamtor1,0.20715870465022238
Bmp7,0.205828967275768
Gm16168,0.20546540435044103
Ctc1,0.20517071448615312
Htr2c,0.20512444970204327
Tmem163,0.20333882297169115
Galnt3,0.20135760305305447
Pak1,0.20043070005362296
Plekho2,0.20022769400860055
Cyba,0.19950356833751554
Ryr3,0.19946096303592767
Rcan2,0.19828939718473637
Nxph1,0.19798023155093855
Tnni1,0.19710580219964843
Atad5,0.19697948046713243
Ccp110,0.19643157100485215
Slc15a4,0.19605450165130267
Pstpip2,0.1956003212622483
Bcl11b,0.19552328351747325
Chrm2,0.19510394432294173
Cdh8,0.1923545569831481
Gad1,0.19201884404522243
Gm10373,0.19174730315428365
Kctd16,0.1907538723436602
Dram2,0.19062671822376678
Carns1,0.19039293954165595
Ppp1r16b,0.19019412706849062
Csk,0.19013678892294844
Arhgef28,0.18945642098047222
Mpzl1,0.18862001344608714
Adcy7,0.18841559621995177
Gm40645,0.18841559621995177
Rtkn,0.1883882318382479
Gm43821,0.18838184913564118
Cacna2d4,0.18807138026154394
Enpp2,0.1874929311986382
Khnyn,0.18499717263016346
Gm13052,0.18474624637037562
Zfp488,0.18369100441647226
Fam107b,0.18341094096501215
Tppp,0.18308418551623734
4930420G21Rik,0.18259858358588102
Plxnb3,0.1825718880133336
Npepl1,0.18241690959094586
Stk10,0.1823439238619063
Col11a2,0.18113159736041645
1110059E24Rik,0.18110414009316153
Spsb1,0.18012528871499464
Hcn2,0.18002867200921605
Tpp1,0.1799826730318615
Eml1,0.17910778847088285
Sh3rf2,0.1787864281633364
Ctr9,0.17847430318290522
Slc24a2,0.17839143457020137
Cep192,0.17793268362727332
Ror1,0.1776635121839432
Tac2,0.17748498643061436
Sh3bp4,0.1773019247121354
Gjc3,0.17658220517981796
BC051408,0.176545984884815
Tmbim1,0.1758082405304387
Unc5c,0.1755823166415359
Dnmt3b,0.1751119787555667
Calb1,0.1746245938896416
Gm10635,0.17412034213809086
Aff2,0.17410160588942744
