Gene,Spearman_Correlation
Itga8,0.24198407925774984
Tiparp,0.2345354162070724
Wdr91,0.23284567604149525
Bcl9l,0.23241720563208712
Notch1,0.21442905134401058
Nox1,0.21340827611556396
Cflar,0.21276394981494
Car14,0.2098534838394111
B430010I23Rik,0.20824404954381207
Pdlim5,0.2075313003896499
Spock3,0.20679707840859587
Slc2a5,0.20356643251861564
9930111J21Rik2,0.20296287951695238
Cyp27a1,0.20045212000577814
Mlc1,0.1997977856199399
Itpr2,0.19843021109793538
Tmem176a,0.19651147357398915
Gm33228,0.1940959474852345
Xaf1,0.1908541595126042
Spg20,0.18975594573120566
Capn11,0.18856120027855586
Itih5,0.18830689502841017
2610001J05Rik,0.18654874312940842
Lats2,0.18590621457480005
Picalm,0.18429173086819087
Sema5b,0.1840181479428488
Camk2d,0.18267227997908836
Gm9895,0.18144418612451674
Cenpf,0.18083864150974382
Tgfbr3,0.18038343914329175
Marcks,0.18024453563825552
Cmklr1,0.17990613608943387
Tbc1d4,0.1798559174672914
Mpzl1,0.1793057750415017
Dubr,0.17924512064102968
Numb,0.17868518487359558
Myh9,0.17863118177227869
Bace1,0.17739741218279448
B4galt1,0.17638958948550912
Zbbx,0.17355274072575594
Gm28403,0.17184505938730615
2310022B05Rik,0.1704377342915516
Mir142hg,0.16994027135368955
Nphp3,0.16939602081711388
Otulinl,0.16896250659706907
Epha6,0.1686193033449361
Fkbp5,0.16769477476271855
Epb41l4a,0.1661186814955705
Psap,0.16591789755594114
Adamts4,0.16583774954061506
Tle4,0.16503513186932947
Dnah9,0.16500851937460287
Msi1,0.16421083401506065
Nek7,0.16232869839435085
Slc35b2,0.1623072857403137
Gm35188,0.16198185588237063
Myo16,0.16070981144943144
Sept10,0.16038619507855315
Dab2,0.15966670688696297
Tmem117,0.15910125858645474
Rps27l,0.15893967137543952
Srgap2,0.15726928517054686
Ly96,0.15724643956050685
Deptor,0.15721108095869024
Slc25a45,0.15708309005553756
Galm,0.1563126254550861
Paqr8,0.15568342007239006
Kctd4,0.1556608535148126
Lhfp,0.15550908014239836
Shroom1,0.15529884331910246
Cpne4,0.15509280013809437
Rnd3,0.1548728373375206
Rpusd3,0.15467577474774188
Rab3il1,0.15456014679103505
Pth2r,0.15391395187392742
Rpusd4,0.15375864426314995
Mettl24,0.15375864426314995
H2-T23,0.15375864426314995
Cdh13,0.1535742963770181
Garem1,0.15320412277790044
Tox,0.15292056172416893
Thsd7a,0.15286342568259922
Gpld1,0.15270403843681982
Cntnap5a,0.15244689561589345
Cyp2j12,0.15176964512478286
Enpp6,0.15130789352578003
Togaram2,0.1507512979484184
Sipa1,0.1503975658695571
Megf10,0.1495244511993123
Nek10,0.14947438814045505
Trps1,0.14918975725999578
Pappa,0.14916716223439794
Stpg2,0.1487373128346315
Abhd5,0.14855475907223076
Aox1,0.1481876788912967
Efs,0.1477487224964928
Itgb5,0.14704232678044565
Mtus1,0.146752667554875
Kcnmb2,0.14630832836904387
Bace2,0.1460770693625439
1110059E24Rik,0.145581492529242
Arhgef10l,0.14542084853284928
Slc25a29,0.1452680270179652
Ermp1,0.14491370167010525
Rad21,0.144688224106557
mt-Nd2,0.14451508981846573
Tpt1,0.14439324016234634
Gpr146,0.1443427927120776
Slc46a3,0.14377997710278087
Rad51b,0.14374223296800734
Irs2,0.1437357871604535
Hif3a,0.14338197910510211
Rpa2,0.14314630907088763
Samd5,0.14303200776734135
Gnb4,0.14263390492453487
Gm6209,0.14261671351944344
Sparcl1,0.1418329453720804
Cgas,0.14150252044507278
Col9a3,0.14127187151378326
Entpd1,0.14043844925441046
Nid2,0.14009589303249664
Myo1c,0.13981828040616778
Slc11a1,0.1396761929335377
Fkbp9,0.13947377658556417
Evc,0.13927413429633148
Peak1,0.13854442005978088
Cpox,0.13750314938728828
Gtpbp1,0.13668270045802092
Gramd1c,0.1364418518270707
Cklf,0.1359448096376671
