Gene,Spearman_Correlation
Dpyd,0.32204202583440283
Ptpro,0.3079991801007153
Bcl11b,0.29487166800503434
Ptprz1,0.2904806518687151
6530403H02Rik,0.2899416452781456
Arhgap6,0.28296594788772067
Gm1604a,0.2812308333297188
Robo1,0.278248361839043
Camk2d,0.26615497736712646
Cntnap5c,0.26466379819620045
Arhgap18,0.2643342168987323
Dchs2,0.26402875731996617
Arhgef28,0.2612892428189263
Dscaml1,0.26087981881324107
Nkain3,0.2589774083645215
Fndc1,0.25726120850682876
Fam126a,0.2511129684670935
Ndst4,0.2507514795056734
Cdh9,0.246103702986343
Pdzrn4,0.24465564228322856
Kcnn3,0.2420774849430802
Ryr3,0.2414669631673711
Peak1,0.24145704852120595
Zbbx,0.23969955792380718
Gng7,0.2395952061480236
B130024G19Rik,0.2377199458143841
Dner,0.23740454208398493
Inpp4b,0.23621037706278789
Kirrel3,0.2361271223711463
Rhbdl3,0.23194850721295834
Npas3,0.23187254439622929
Cdh13,0.2314279187394704
Ptpn14,0.22920776444589344
Tox3,0.2290000563844815
Grin3a,0.22839363539934052
Ano4,0.2279873685039518
Col23a1,0.2271015789290091
Zfp608,0.22602467903278967
Prex2,0.22533065798920082
Glra2,0.22532823244389288
Ano2,0.22481407182019827
Trhr,0.22365441084267113
Kif26b,0.2229837882204708
Crim1,0.2211836434672734
Dgkg,0.2208230055388209
Gm29683,0.2196937872559568
Crb1,0.21939059549342135
Arhgap12,0.21810334045616397
Plce1,0.2177011348885782
Cdh4,0.21744953027168837
Glra3,0.21575347566770606
Nek10,0.21570328887509332
Scn5a,0.21300780925661397
9530026P05Rik,0.21171236679295966
Ankrd55,0.21105551605750733
Filip1,0.21068574392438363
Mgat4c,0.2104816782741183
Dgkb,0.2101286518068546
Cpne7,0.20961495449710454
Cep112,0.20924022348505814
Cntnap5a,0.2069839123914151
Adamts9,0.20697708307513
Scml4,0.20523781631556934
Rassf8,0.20402783492001073
A830018L16Rik,0.20399672881052613
Cfap44,0.2037159029550554
Tmem117,0.20281426077033088
Tenm1,0.20257296872766306
Slc44a5,0.2022288193516122
Fstl5,0.20213990391431866
Nckap5,0.20072939673936194
Pcdh19,0.20015028049413214
Caln1,0.19913528381246268
C130073E24Rik,0.1983081530248119
Trpc7,0.19749210693317534
Tox2,0.19728816298385474
Mtss1,0.19714132194969858
Grm1,0.1968164681551725
Epha6,0.19529512435537116
Erbin,0.19527762271344437
Eps8,0.1951595428729203
Chst9,0.19498996667236046
Sh3bp4,0.19459190834084703
Nr2f2,0.1944456559203122
Pard3b,0.1922588761689244
Hpcal1,0.1918537756691438
Tmcc3,0.1914969182283362
Cald1,0.191432895882626
Nr3c2,0.19103901538426932
