Gene,Spearman_Correlation
Adgrv1,0.5256587180237495
Vcan,0.5113431469085711
Xylt1,0.5022759698349073
Lhfpl3,0.4729351617048304
Tshz2,0.46829519685520665
Tmem163,0.4542890741358755
Chadl,0.4516148662293166
Dpysl3,0.44410649595671703
Matn4,0.4439764501306683
Kcnh8,0.4439764501306683
Pdgfra,0.4439764501306683
Shroom4,0.4439114272176439
Scrg1,0.44365133556554626
Adam12,0.44365133556554626
Zfp521,0.44118965958813544
Zswim5,0.4360232351950025
Hepacam,0.42030708607921735
Smc2,0.41779042536509864
Prox1os,0.41242576492327343
Thsd4,0.41242576492327343
Depdc1b,0.4121267949822397
Itgb8,0.40965933373817404
Cecr2,0.4048791201545485
Sox6,0.40393560665881967
Zfp462,0.40183677560394226
9630001P10Rik,0.39960448082701017
Rbfox3,0.39669041692314405
Zfhx4,0.39125495998515536
Slc44a5,0.39116024948311956
Sash1,0.3896939280701186
Acss2,0.3879697015045925
S100b,0.3870029115188994
Dbndd2,0.3856407574869385
Egfem1,0.3848747317480567
Lonrf3,0.38375343852002053
Nwd1,0.3820503405916422
Tox3,0.3818805907365216
Pter,0.3814760690182522
9330111N05Rik,0.3807195101425832
Stard6,0.37891888592501694
Olig1,0.37677018265065104
Amotl2,0.37463910766943215
Adarb2,0.3728324136421777
Gm4876,0.3726575152749639
Vat1l,0.37043858456672857
Spon1,0.37043858456672857
Akap12,0.37043858456672857
Neu4,0.37043858456672857
C1ql1,0.37043858456672857
Nnat,0.37043858456672857
Plpp4,0.37043858456672857
Bcas1os2,0.37043858456672857
Slc2a12,0.37043858456672857
Myt1,0.37043858456672857
Gm14634,0.3701112674481535
Ntn1,0.36739526976622233
Tmem255a,0.3659210408525002
Gm3764,0.36445293894413033
Sik3,0.36379213644146835
St3gal1,0.36307773403851246
Cdh13,0.36283903842086823
Gpsm2,0.36219604866708377
Ccbe1,0.36219604866708377
Gm38505,0.36219604866708377
Stk32a,0.3617997729026778
Cacng4,0.3617997729026778
Sox11,0.3617997729026778
Emid1,0.3617997729026778
Tmod2,0.3605177761544572
Shroom3,0.3583985274448256
Pcolce2,0.3583419441597854
Grin3a,0.35615556112682917
Pcyt2,0.35574326869635275
Sbf1,0.3553984792876955
Txndc16,0.35463219044376804
Akna,0.35414600909592603
Srgap1,0.35087479103468927
Proser3,0.349594479358973
Rlbp1,0.349594479358973
2610316D01Rik,0.349594479358973
Klf15,0.34940698502797807
Errfi1,0.3489156764216744
Zfp536,0.3470425663443336
Foxp2,0.34699832924993146
Ugdh,0.34699832924993146
Tmem132c,0.3453939562562694
Dach1,0.3448500686911332
Cdk5rap2,0.3422381970288113
Ninj2,0.3408211604587887
Tmem196,0.33986011823149953
Gm16168,0.3397906869013856
Bach1,0.33647775519706935
Cnksr3,0.3350317805978118
Efemp1,0.33426772318284986
Hgf,0.33363203985107054
Gm37306,0.33344656566342823
Pdzrn4,0.3313776587482019
Nfib,0.3309032528423342
H2afv,0.3300183960311972
Ppp1r14a,0.3267412325345825
Synpr,0.32362809598501946
Prrx1,0.3232831152097028
Npas3,0.3228100822472981
Prrg1,0.3215688300974506
Kcnn2,0.31995233552870617
Sox2ot,0.3194801675018849
Rftn1,0.31614861363950625
Esrrg,0.31579128258672884
Slain1,0.315764949523958
Psat1,0.31562810403998465
Bcan,0.3153497872290966
A230001M10Rik,0.3151162569166939
Tbc1d4,0.31467561689494905
Map3k19,0.31402815845138576
Adamtsl1,0.31331365683680384
Zfp113,0.31289521634945017
Synj2,0.31116306346946115
Erbb3,0.31073046263476123
Shisa9,0.31055098851824176
Gm11149,0.31044231190776006
St8sia6,0.310289747908133
Invs,0.3099531113651528
Zfpm2,0.3098191997669668
Ghr,0.3095089085370768
Ezh2,0.3077783164039676
Kcnk2,0.3077724419142868
Dnajb2,0.3075181685815751
Sned1,0.3073649184314875
Alcam,0.30602262662948104
Vav3,0.30471271309567044
Gm26747,0.30452795987842207
Kcnmb2,0.30452795987842207
Gm10561,0.30452795987842207
Gpr176,0.30452795987842207
Tpx2,0.30452795987842207
Dhcr7,0.30452795987842207
Aldh1l2,0.30452795987842207
Ndst3,0.30233099259425567
Hipk2,0.3002499057081113
Gjc3,0.2997323550192118
Cdh20,0.29970377641938156
Sox5,0.29952700506595487
Wdr91,0.2989198716314522
Neat1,0.29881961257144896
Syt9,0.2986716529576832
Ccdc13,0.29770740728225903
Ugt8a,0.2975032242324556
Arhgef28,0.2971031238348327
Slc38a2,0.2970295675299197
Tesk2,0.296884836601448
Plpp3,0.2958304532146886
Gm19500,0.29458409175095357
Cobll1,0.29427384245164223
Cyp51,0.2942286814354531
Sept1,0.29397265886072227
Schip1,0.29346054130758126
Pcdh17,0.2922214683570291
Inf2,0.2911844389380243
Cldn14,0.2908112451681582
Gm38604,0.2900997264584031
Aldh2,0.2899696806323543
Cpox,0.2890061210401066
Ptprk,0.2886592589703372
Mmp28,0.28858574552242516
1500015L24Rik,0.28810559033662897
Anln,0.28786029964396187
Eya1,0.2873592027968968
Ebf1,0.28701113808974366
Mt2,0.28695903911620546
Adam19,0.2868996906025692
Ano4,0.28671465311280775
Abat,0.2864909547855484
Dnm3,0.285970960736209
Ppargc1a,0.28586642771743237
Rbms3,0.2850251607636598
Stxbp6,0.28490006170733434
Endod1,0.28460626894984836
Pard3,0.28444280411005096
Ypel2,0.2839458458332122
Col9a3,0.2835649236994499
Alk,0.2833698549603767
Ccdc15,0.28336320647349267
Cuedc1,0.2830955417324812
Aff2,0.28269250743234337
Ptn,0.2820716933941079
Tmtc2,0.28205886067521313
Cntnap5c,0.28110273219546655
Apoe,0.28060230087566046
Btg1,0.28047255479147465
Slc38a3,0.2801512207656685
Pik3ip1,0.2801512207656685
Arhgap6,0.2801512207656685
Nkain3,0.2800586229430442
Mmd2,0.27995615202659524
Folh1,0.27952138221822237
Runx1t1,0.2793003001864126
Slc44a1,0.27921515755937565
Pcyt1b,0.27845281906447494
Hacd2,0.27770413424811735
Megf11,0.27767903195314053
Rhob,0.27714913102216454
Gm49678,0.2770526328630127
Gm9968,0.27686756365793574
Slc26a11,0.27686756365793574
Gm42413,0.27686756365793574
Ltbp1,0.27683505220142357
H2-D1,0.2754729872698184
Gm3002,0.2754206109704847
Klhl14,0.27524642527472765
Phlda3,0.27524642527472765
Mastl,0.27524642527472765
Btla,0.27524642527472765
Cd38,0.27524642527472765
Scml4,0.27524642527472765
Dpp4,0.27524642527472765
Myo5b,0.27524642527472765
Prss12,0.27524642527472765
Gpr37l1,0.27495680977322884
Trmt2b,0.27464034436829
Tead1,0.2734538607241543
Cyp2j9,0.2734538607241543
Gramd1c,0.27335632635461765
Ntng2,0.2733238148981054
Bcl11b,0.2733238148981054
Smoc1,0.2733177872056848
Cspg4,0.27312874615903227
Galnt7,0.2722225929541809
Chst3,0.27154511679882076
Fa2h,0.27063644930892344
Tuba1a,0.2702359368822097
Ror1,0.2700401577903727
F3,0.26987760050781173
Afap1,0.26966360084367846
Igdcc4,0.26961750885571406
Gldc,0.2693901183539888
Traf4,0.2693901183539888
Slc13a5,0.2693901183539888
Gm20713,0.2693901183539888
Rgcc,0.2693901183539888
Tmem255b,0.2693901183539888
Gpr17,0.2693901183539888
Gm40578,0.2693901183539888
Pnlip,0.2693901183539888
Ddah1,0.2693901183539888
Ccn1,0.2693901183539888
Mdk,0.2693901183539888
Rgs22,0.2693901183539888
Fzd9,0.2693901183539888
Mfsd2a,0.2693901183539888
Dapk2,0.26907270807345796
Dgkg,0.26907270807345796
Bcas1,0.26903594057737606
Col11a1,0.26902605885222464
Smim4,0.26874846127922
Ggh,0.26851291741865874
Rnf144a,0.26833727343534813
Plekhh1,0.2672076138800321
Sema6a,0.26717677452243727
Gm13483,0.2666881037134424
Shc4,0.2663988746610058
4921504A21Rik,0.2661387830089082
Rnf43,0.2660405086932958
Robo1,0.2658217441123409
Nrbp2,0.265048858848397
Zfp579,0.26440123233890644
Josd2,0.2643035690286461
Sulf1,0.2635338114332499
Ezr,0.2635338114332499
Itm2a,0.2635338114332499
Pdgfd,0.2635338114332499
Tll1,0.2635338114332499
Gm29683,0.2635338114332499
Gm41414,0.2635338114332499
Slc26a7,0.2635338114332499
Prodh,0.2635338114332499
Wdr83os,0.2635338114332499
6530403H02Rik,0.2635338114332499
A330093E20Rik,0.2635338114332499
Nxn,0.2635338114332499
Hif3a,0.2635338114332499
C130073E24Rik,0.2635338114332499
Gfra1,0.2632127519228098
E130114P18Rik,0.2632127519228098
Dnah11,0.2632127519228098
Rhbdl3,0.2632127519228098
Pde3a,0.2632127519228098
Myo16,0.26308270609676093
Stard13,0.2623349953800558
Fan1,0.261871666678738
Clic4,0.2604665115506989
Aspa,0.26033043713639464
Pacs2,0.2600975176130317
Pls1,0.2595662206602153
Hs6st3,0.25948381279028687
Glod4,0.25929731865696926
Dock5,0.25880267167197896
Pip5k1b,0.25774786785258497
Gm20743,0.257677504512511
Nkx2-2,0.257677504512511
Il17rb,0.257677504512511
Lcat,0.257677504512511
Slc16a10,0.25711186885817594
Slc22a23,0.2566119718769819
Slc2a13,0.25603566814851486
Acad12,0.25553496879698906
Lta4h,0.25526405368340954
Map3k11,0.2544715018274467
Mog,0.2544212720819849
Ppp1cc,0.2543324691332371
Abhd17b,0.25417535849518363
Add3,0.25391124116689145
Pllp,0.2538643783538191
Galnt3,0.2537910707710953
Elovl7,0.25344792445138936
Tox,0.25293055629649186
Gpc6,0.25283647324086134
St18,0.25206673933391754
Hhip,0.25197553276005935
Cybrd1,0.25182119759177213
Lamb2,0.25182119759177213
Ngf,0.25182119759177213
Slc5a7,0.25182119759177213
Gm44866,0.25182119759177213
Scel,0.25182119759177213
P3h4,0.25182119759177213
Gm45025,0.25182119759177213
Ankfn1,0.25182119759177213
Fancb,0.25182119759177213
2900079G21Rik,0.25182119759177213
1190005I06Rik,0.25182119759177213
Ramp2,0.25182119759177213
Gm7967,0.25182119759177213
Hhatl,0.25182119759177213
Adamts1,0.25182119759177213
Frmpd1,0.25182119759177213
Ino80c,0.25182119759177213
A930009A15Rik,0.25182119759177213
Npy2r,0.25182119759177213
Cdh4,0.25182119759177213
Col5a2,0.25182119759177213
Zfp423,0.25182119759177213
C030029H02Rik,0.2513870234339064
Ppp1r16b,0.2507601025615789
Megf10,0.2507393969244158
Pstpip2,0.250369977940552
Dscaml1,0.24848876680994428
Ctnna3,0.24830411486008552
Sh3d19,0.24793920145569226
Tnni1,0.24732553891085138
Slc25a21,0.24675970606044903
Vegfa,0.24661597222972118
Cab39l,0.24638348837919868
Tspan2,0.24608977450184027
Pld5,0.24596489067103322
Kif26b,0.24596489067103322
Peg10,0.24596489067103322
Adam18,0.24596489067103322
Slc7a2,0.24596489067103322
Cmtm5,0.24542635785085506
Pnrc2,0.24495549969427272
Gm44577,0.24479320569498322
Atp1a2,0.24460842693668275
