Gene,Spearman_Correlation
Alcam,0.2575463063058709
Ptprt,0.20737002062646084
Rai14,0.2040455506054636
C130073E24Rik,0.19767215246135378
Shisa6,0.19628364853855443
Sh3pxd2b,0.19501827804796878
Tpcn1,0.19501469032864294
Sv2c,0.19419222045922208
Gm20754,0.1940301390450743
Trpm3,0.19369633565075955
Kcnn3,0.19120738984010338
Wars2,0.18691789567751416
6530403H02Rik,0.1838970183812524
Aff2,0.18101599021922823
Galnt14,0.17964787572819954
Sorcs3,0.17732511703802084
Afap1,0.1751763746566328
Gm41414,0.17376158578261683
Scml4,0.17192517047790568
Tmem163,0.17153880909869043
Frmd4a,0.1697383500098314
Synpo2,0.16937283998320649
Galnt1,0.16929570285676565
Reln,0.16870316730923493
Sulf1,0.16770139649673513
Vav3,0.165015222925584
Lpar1,0.16420250600334235
Elfn1,0.16348702151625807
Maml2,0.16284384570159563
Sdk1,0.16162916894281507
Nmbr,0.1609283956317358
Fbn1,0.15970660142078466
Prkd1,0.15895862845722813
Col19a1,0.15828798671089703
Nfe2l3,0.15803084921933125
Cntnap5c,0.15769578500652018
Vwc2l,0.15716167281605503
Cmbl,0.1553802556056475
B130024G19Rik,0.15529948053916495
Igfbp5,0.15503499130391893
Prss12,0.15328002778130354
Phka1,0.1530566274021473
Atg10,0.15288624409494403
Eps15,0.15075552053852562
Smc2,0.15064371186306671
Pbx3,0.15041956867098027
Prlr,0.14987423700322697
Plcl1,0.14912986000242182
Gm32442,0.14882215291668902
Serpini1,0.1487685523351821
Nhs,0.14825038034984253
Abcb10,0.14822266545982687
Nrp2,0.14820131624064758
Myocd,0.14788798407992118
Cobll1,0.14749666850366472
Pth2r,0.14704070600690639
Sfmbt2,0.1469579461579886
Rgs12,0.14647654752184322
Gfra1,0.1464168075506198
Bmpr1b,0.14534641338551477
Gm10754,0.14474506108770724
Myo10,0.14451605850015695
Wnt5b,0.1438171614890637
mt-Nd3,0.14364268769298455
Mbnl1,0.14349860291835417
Utrn,0.14294311694631848
mt-Cytb,0.14253785229145757
Vit,0.14197813182241673
Atp10a,0.14196854379369359
