Gene,Spearman_Correlation
Plek,0.3399423902673798
D330041H03Rik,0.3162359241177289
Lypd1,0.27644168720771817
Nr2f2,0.27404963913448704
Hebp1,0.26289839951995914
Pik3ip1,0.25244813518834375
Vmp1,0.2516565361194214
Gins3,0.2492316457556397
Peg10,0.24684150479278832
Bloc1s5,0.24447536185975624
Rnf152,0.2403872352641483
Mcee,0.23949841398312505
Shb,0.23688887920664475
Mme,0.2359800527789918
Trnt1,0.2351272436663264
Lig1,0.23436955255237563
Sass6,0.2301848472405661
Engase,0.22930536715655137
Dubr,0.22880119308650498
A730056A06Rik,0.22515740028207906
Rad54l,0.22514557610115177
Pknox1,0.22352603350064734
Fuca1,0.2226594821507534
Grk2,0.22263370552422576
Gdpd2,0.22248972262362926
Slc14a1,0.221345322959143
Shld2,0.22023811392577164
Rnf220,0.21639178598269512
Runx2,0.21622804456370026
Evi2a,0.2154551452754578
Gm41492,0.21499395260516607
Amz1,0.2145062766818143
Kif13b,0.21402462320790697
Tpmt,0.21269941500889503
Ddhd1,0.21200233390907378
Accs,0.20994190946063288
Pcx,0.20815520077100505
Igdcc4,0.20757969136452314
Mafb,0.20650362786490548
Robo1,0.2053733258668448
Dnmt3aos,0.20372905064977778
Pcyt1b,0.20322304405526004
Olig2,0.2029257535171188
Gas7,0.20193007904042504
Galm,0.19919561970283506
Rps27a,0.19885816292950553
Kank2,0.19881420405422956
Gm28756,0.1982482396119877
Tmem219,0.1982032408285796
Hs6st2,0.19751583305617978
Dner,0.19720850558597178
Gjc2,0.19640966697971846
Gm50323,0.19640966697971846
Ptpn18,0.19640966697971846
Gpr34,0.19615637664960367
Zfp395,0.1955356697562169
Ccn2,0.1937789954030173
Prr18,0.19229357887235793
Zpbp,0.19168309336750103
2900052N01Rik,0.1908377615334853
Trpv3,0.1908377615334853
Pdyn,0.1908377615334853
Npl,0.1908377615334853
6030407O03Rik,0.1906541277733318
Ak3,0.19020254812731285
Cnr1,0.1898562268763566
9530026P05Rik,0.1895190414112951
Sash1,0.1893161529854535
Cdh18,0.18877495703898353
Plekhh1,0.18802744898824802
Grik1,0.18700491001978983
Cdh8,0.18653037600354225
6530403H02Rik,0.1864568881479457
Tspan9,0.18584510445550761
Epb41,0.1858345638707683
Casp7,0.18574583053018823
Ska2,0.18502513768908185
Mthfd2l,0.18491464283885845
Plppr1,0.18484422912653267
Tmem255a,0.18442878543075417
Sox11,0.18439797113040352
Cpne8,0.18392190820540882
Map3k1,0.18333474303853484
Hs6st3,0.18306237617242402
Fam126a,0.18289487673604807
Gm16070,0.18247990336413558
Igsf6,0.18247990336413558
Tox,0.1820511856622115
Ccnq,0.1808846708302454
Npnt,0.18080659627709927
Cyp2j12,0.18064062781900062
Hsd11b1,0.18063152332016189
Ccp110,0.1804914337430129
Sdhaf1,0.1793841285019829
Il1rapl2,0.17718669166460838
Bmp2k,0.1771329715763476
Ube2cbp,0.17557798219346515
Rest,0.175473399594736
3830406C13Rik,0.17533676907431747
Ezr,0.17524735132705008
Tmem258,0.17485480272162332
